SiteID,Longitude,Latitude,2001/1,2001/2,2001/3,2001/4,2001/5,2001/6,2001/7,2001/8,2001/9,2001/10,2001/11,2001/12,2002/1,2002/2,2002/3,2002/4,2002/5,2002/6,2002/7,2002/8,2002/9,2002/10,2002/11,2002/12,2003/1,2003/2,2003/3,2003/4,2003/5,2003/6,2003/7,2003/8,2003/9,2003/10,2003/11,2003/12,2004/1,2004/2,2004/3,2004/4,2004/5,2004/6,2004/7,2004/8,2004/9,2004/10,2004/11,2004/12,2005/1,2005/2,2005/3,2005/4,2005/5,2005/6,2005/7,2005/8,2005/9,2005/10,2005/11,2005/12,2006/1,2006/2,2006/3,2006/4,2006/5,2006/6,2006/7,2006/8,2006/9,2006/10,2006/11,2006/12,2007/1,2007/2,2007/3,2007/4,2007/5,2007/6,2007/7,2007/8,2007/9,2007/10,2007/11,2007/12,2008/1,2008/2,2008/3,2008/4,2008/5,2008/6,2008/7,2008/8,2008/9,2008/10,2008/11,2008/12,2009/1,2009/2,2009/3,2009/4,2009/5,2009/6,2009/7,2009/8,2009/9,2009/10,2009/11,2009/12,2010/1,2010/2,2010/3,2010/4,2010/5,2010/6,2010/7,2010/8,2010/9,2010/10,2010/11,2010/12,2011/1,2011/2,2011/3,2011/4,2011/5,2011/6,2011/7,2011/8,2011/9,2011/10,2011/11,2011/12,2012/1,2012/2,2012/3,2012/4,2012/5,2012/6,2012/7,2012/8,2012/9,2012/10,2012/11,2012/12,,2013/1,2013/2,2013/3,2013/4,2013/5,2013/6,2013/7,2013/8,2013/9,2013/10,2013/11,2013/12,2014/1,2014/2,2014/3,2014/4,2014/5,2014/6,2014/7,2014/8,2014/9,2014/10,2014/11,2014/12,2015/1,2015/2,2015/3,2015/4,2015/5,2015/6,2015/7,2015/8,2015/9,2015/10,2015/11,2015/12,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12,2017/1,2017/2,2017/3,2017/4,2017/5,2017/6,2017/7,2017/8,2017/9,2017/10,2017/11,2017/12,2018/1,2018/2,2018/3,2018/4,2018/5,2018/6,2018/7,2018/8,2018/9,2018/10,2018/11,2018/12,2019/1,2019/2,2019/3,2019/4,2019/5,2019/6,2019/7,2019/8,2019/9,2019/10,2019/11,2019/12
icr005972,-6.88722,36.0903,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005973,-6.87997,36.0957,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005974,-6.87997,36.0957,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005975,-6.88609,36.0976,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005977,-6.88888,36.0951,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005980,-6.88463,36.0953,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005981,-6.88493,36.0892,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005987,-6.86272,36.0943,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005988,-6.86873,36.0972,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005989,-6.86867,36.0958,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
icr005990,-6.86532,36.1,4.82589,6.7487,5.1262,3.78386,2.1578,1.34132,1.04979,1.03691,0.894908,0.855247,1.01645,2.42072,4.62919,6.65348,6.4789,4.27405,2.28521,1.42266,1.16803,1.10611,0.992548,0.890774,0.973312,2.55279,5.15146,5.32585,5.13331,5.23611,2.65009,1.46673,1.13251,1.05298,0.960908,0.839429,0.939624,2.30496,3.81703,5.12212,5.66734,4.20739,2.07997,1.26771,1.10227,1.05534,0.935926,0.818768,1.19107,4.40804,5.80391,5.64801,5.14131,4.84867,2.30385,1.40714,1.15043,1.10819,1.01156,0.849294,0.903378,1.23161,2.16597,3.63666,5.15655,4.57177,2.40793,1.32834,1.04031,0.990602,0.913929,0.839593,1.48018,3.99859,5.89531,5.97672,5.67427,3.6446,1.90224,1.4089,1.17532,0.986624,0.958465,0.89429,0.951528,3.44967,4.53729,5.70367,5.81578,4.65846,2.80554,1.54901,1.19493,1.06534,0.89548,0.682295,1.36241,3.47097,3.79958,4.24061,4.21533,3.34008,1.60339,0.993631,0.880938,0.839558,0.751761,0.649535,1.58252,2.39871,4.01612,4.68685,4.45167,2.83483,1.38253,1.00524,0.886688,0.843067,0.808777,0.696304,0.743198,2.62413,4.14495,4.19173,4.43328,4.48891,2.00785,1.17392,0.979138,0.961856,0.811637,0.715359,1.2211,3.55768,4.71842,4.95674,4.95117,3.70581,1.74795,1.15559,0.956127,0.893207,0.842214,0.695961,0.943205,3.04148,,4.23125,4.96622,4.23749,3.37515,1.54581,1.0481,0.886742,0.825581,0.671388,0.607972,0.662473,1.63515,3.14024,4.68417,5.45033,4.63115,2.31609,1.45452,1.09933,0.926776,0.905498,0.788033,0.944055,2.33604,3.50376,4.34265,3.67315,2.93614,1.36188,0.9336,0.761418,0.664013,0.494211,0.46323,0.758843,3.02844,4.15975,5.2321,4.55473,3.90151,2.18636,1.12965,0.988048,0.844252,0.848809,0.728659,0.836177,1.81359,2.96001,4.22838,4.94693,4.01126,1.99171,1.15744,0.908273,0.832773,0.655957,0.540736,0.676449,2.14992,3.38205,4.29697,4.80334,4.95819,2.63516,1.49704,1.11111,0.986344,0.922198,0.822828,0.855954,3.03872,4.09428,3.93052,3.58084,3.20495,1.9056,1.08919,0.837839,0.710135,0.472403,0.435366,0.770674,3.30766
